date,text
2021-10-24 17:54:13,@WHO @DrTedros @WorldHealthSmt Stop cutting corners for others and approve #COVAXIN https://t.co/uy21DUrJIN
2021-10-24 17:49:37,@WHO @DrTedros @WorldHealthSmt why partiality with #covaxin ? Whole world needs choice but not only mrna vaccines.. approve #covaxin
2021-10-24 17:49:14,"@narendramodi @PMOIndia with all due respects, how are you being allowed to travel with #COVAXIN ? I see this as a… https://t.co/67Y594Xtb1"
2021-10-24 17:48:27,"@narendramodi Sir if @WHO does not give EUL for @BharatBiotech #COVAXIN this 26th, then pull out from it as it hold… https://t.co/KbTvwMHBxj"
2021-10-24 17:43:07,@WHO @DrTedros @WorldHealthSmt Approve #Covaxin
2021-10-24 17:32:52,"NO TO DISCRIMINATION!
URGENT APPROVAL OF THE VACCINE #SputnikV 
DO NOT PLAY WITH US, WE NEED YOU TO BE APPROVED… https://t.co/4SA8Xy5pMV"
2021-10-24 17:28:41,Multiple provinces of #China report surge in #COVID19 cases; expert say #Sinovac failed. Officials deny! https://t.co/uEi6F6bnvA
2021-10-24 17:23:19,If you are pregnant at any stage or considering getting pregnant and are not yet #vaccinated  please please get the… https://t.co/JBGF0FKPo0
2021-10-24 17:21:03,Are 10b5-1 plans not being monitored? Study out and discussed on #applenews - execs outperformed bull market by 5%… https://t.co/TSn0qA0suF
2021-10-24 17:15:33,Is Moderna a Good Healthcare Stock to Buy Now? https://t.co/aYx1O6HWWj #Buy #good #healthcare #Moderna #Stock
2021-10-24 17:12:45,"When will these social media platforms realize that censorship ALWAYS backfires???? 

#Pfizer #Moderna #Booster https://t.co/p58oeZWStf"
2021-10-24 17:07:13,@WHO you were able to cut corners for Sinovac but you cant cut corners now that its the best vaccine on the market… https://t.co/Y7A3WYi6Vi
2021-10-24 16:59:31,… someone is finally asking …I am looking forward for @CDCgov &amp; @CDCDirector to produce this #VAERS #report on… https://t.co/ojG27PKCWT
2021-10-24 16:58:10,If you are pregnant at any stage or considering getting pregnant and are not yet #vaccinated please please get the… https://t.co/F2UjTFkB1W
2021-10-24 16:57:46,"@indiablooms And so must be the case with #SputnikLight ?

#SputnikV"
2021-10-24 16:56:38,"My son has a few side effects from #moderna booster that he had yesterday. Arm soreness, feels a bit foggy, no appe… https://t.co/UsXbhguN1R"
2021-10-24 16:54:57,@breeadail @atensnut @ThisWeekABC fauci the flip flopper has much invested into the vaccines - the public are unawa… https://t.co/NPDySavjna
2021-10-24 16:54:14,"@doctorsoumya On 26th Oct 21, give #EUL for #COVAXIN🌍will be safer.Decision to approve Chinese Sinopharm vaccine wa… https://t.co/xULkc0EoOP"
2021-10-24 16:45:42,Fascinating story by Gregory Zuckerman about determined business execs and scientists working together. So grateful… https://t.co/TFDWT3SmWR
2021-10-24 16:42:18,"Actually a bit surprised South African🇿🇦regulatory decision on #SputnikV🛰️💉hasn't had more spillover. 
Interested t… https://t.co/6mAiNNvQA6"
2021-10-24 16:39:03,"Re. the impending forced mass #vaccination of children with the #Pfizer and #Moderna #mRNA products, remember this… https://t.co/xQoBONlwde"
2021-10-24 16:38:41,Just got my #moderna booster
2021-10-24 16:34:29,"Worldwide, for weeks. Instead of fighting us, taking over #NoVaccinePassports hashtags &amp; insulting people who stand… https://t.co/6o9GHvLG97"
2021-10-24 16:32:45,#US taxpayers largely funded #Moderna’s #COVID-19 #Vaccine. The Biden administration is now leaning on the company… https://t.co/P3TYm9NOmN
2021-10-24 16:31:43,⁦@narendramodi⁩ Is #Covaxin approved for international travel?  https://t.co/Ib5kY7PZOp
2021-10-24 16:25:35,"“We are doing this for #Africa,” says a young scientist at the vaccine hub being coordinated by the World Health Or… https://t.co/OA7UG4jgqU"
2021-10-24 16:24:34,Idk if any other ladies have experienced anything similar with the #Moderna vaccine but this has been my experience… https://t.co/NQONkXxCFj
2021-10-24 16:14:09,"⚾️/#WorldSeries TV Ratings Strike Out?
💉#Moderna, #J&amp;J #Boosters Now Available 
🦠#Vaccines For #Kids Coming In Week… https://t.co/oc8y8L4RlY"
2021-10-24 16:14:08,Can Liverpool at least use a condom #SputnikV
2021-10-24 16:11:45,"This is phenomenal! 

#Covaxin #Covid19 #IndiaVaccination https://t.co/v8L2lk4JEh"
2021-10-24 16:11:16,All these prescription drug commercials warn patients to check with their doc before getting #vaccinated yet… https://t.co/K4jawCojFO
2021-10-24 16:09:22,"@atrupar How many people died from taking the polio vaccination?

The fact is, the #VA☠ was changed after the elect… https://t.co/K5tncayWdk"
2021-10-24 16:04:23,"This is an excellent News

Now there will be a #COVID19 vaccine for everyone

#COVAXIN https://t.co/9XMw6Q70Ui"
2021-10-24 16:02:20,China Expects New Covid Outbreak to Worsen in Coming Days https://t.co/YhhlQYHCrK #travel #business #businesstravel… https://t.co/nK4EruG9ei
2021-10-24 16:02:08,@WHO @DrTedros @WorldHealthSmt Hey @WHO @DrTedros @doctorsoumya Im wondering what's your next excuse to extend… https://t.co/oyGc9RZhtJ
2021-10-24 16:00:27,@WHO @DrTedros @WorldHealthSmt #COVAXIN  2 days @DrTedros
2021-10-24 15:45:29,Thank you #Costco for not only providing all the toilet paper and rotisserie chicken we need.. but also having… https://t.co/ZpqHwX1Z3e
2021-10-24 15:42:10,"MODERNA, who, without the EUA wouldn't even have a vaccine... IS THE BEST!!!!!!
What a fucking shit show!!… https://t.co/D098BbMZP5"
2021-10-24 15:41:11,$ocgn ready for approval. #COVAXIN #covaxinforkids.
2021-10-24 15:38:04,@WHO Hey @WHO @DrTedros @doctorsoumya Im wondering what's your next excuse to extend #covaxin approval? Pretty sure… https://t.co/eFyGe2nMqq
2021-10-24 15:36:55,Hey @WHO @DrTedros @doctorsoumya Im wondering what's your next excuse to extend #covaxin approval? Pretty sure you'… https://t.co/3in3tnK7f1
2021-10-24 15:28:25,"My wife and I just got our #Moderna booster at Walmart. Very simple process. And in other news, my wife’s back surg… https://t.co/PdjP1mWNEr"
2021-10-24 15:26:53,Everyone needs to watch this.  I’ve seen clips but never the entire thing.  Here it is:  #neurology #real #truth… https://t.co/oTssvJw6yX
2021-10-24 15:17:08,I’m getting my #booster today!  It will be a #Moderna shot. I originally got the #JandJ.
2021-10-24 15:11:57,Popular JavaScript Library ua-parser-js Hacked And Now Is Crypto Mining Your Devices https://t.co/1XSkCdzwjo… https://t.co/ttAVSpgYsX
2021-10-24 15:11:53,Is it even legal for #Moderna to be advertising it's vaccine? Keep getting these on my @Microsoft games
2021-10-24 15:11:41,$OCGN DCGI will have 2 WHO approval under their belt after #COVAXIN gets approved hopefully this week as scheduled… https://t.co/TGtgeeTWM4
2021-10-24 14:57:22,"Amid concerns of #SputnikV vaccine allegedly causing #HIV in men, #Namibia has also decided to suspend the use of t… https://t.co/IzFeIecxUt"
2021-10-24 14:47:36,FWIW - I got the Moderna booster shot yesterday and have felt tired and achy since then. I had essentially no side… https://t.co/ppSRvg6766
2021-10-24 14:47:27,is Boosted. #moderna
2021-10-24 14:44:46,"🇺🇸 mouthpiece @RFERL are 🤡, long leave free #Belarus https://t.co/2EUN79HDWm #FauciLied #COVID19 #AstraZeneca #moderna #Pfizervaccine"
2021-10-24 14:39:55,"Data showed antibodies elicited by #COVID19 #vaccines, incl the most-used shots from #Sinovac &amp; #Sinopharm, decline… https://t.co/sIBfQp00Zm"
2021-10-24 14:32:45,"Popular JavaScript Library ua-parser-js Hacked And Now Is Crypto Mining Your Devices
Link: https://t.co/2R3YenCp4z… https://t.co/nj63PJ1H6g"
2021-10-24 14:30:28,"Dr #Fauci is encouraging #US citizens to get the booster that matches their original vaccine manufacturer.
 I disag… https://t.co/QG9DV30xFD"
2021-10-24 14:25:00,"UP NEXT | #Vaccine, Vision &amp; Vishwas - Brains behind India’s #Covaxin. 
On Frankly Speaking with Navika Kumar, Bhar… https://t.co/tjRMgt2Vei"
2021-10-24 14:22:35,@UN @WHOWPRO You’re killing people by not approving #covaxin. My sister is allergic the current mRNA vaccines.Canno… https://t.co/zWcIXnOoAA
2021-10-24 14:14:00,"#Vaccine, Vision &amp; Vishwas - Brains behind India’s #Covaxin. 
On Frankly Speaking with Navika Kumar, Bharat Biotech… https://t.co/Y7xB1AXt0G"
2021-10-24 14:08:28,@narendramodi #covaxin is the way. https://t.co/sUuKkz3V0u
2021-10-24 14:05:50,"After South Africa, Namibia also suspends use of Russia's Sputnik V vaccine | Indiablooms - First Portal on Digital… https://t.co/4Cgai1kga0"
2021-10-24 14:01:12,"45+ #BBMP #Bengaluru #CovidVaccine Availability for 20/10 at 07:30AM
FREE Slots 0
PAID Slots 
#COVISHIELD – Dose1:7… https://t.co/GVNU82GxvL"
2021-10-24 14:00:02,"Sorry to disappoint, but #SputnikV didn’t pass SA’s safety test. @SAHPRA1 says there wasn’t enough data to quell co… https://t.co/GgMsrljRtP"
2021-10-24 13:57:41,@WHO Now end Covid-19 with approval of #covaxin.       @Ocugen @BharatBiotech @RhettAmmons https://t.co/qFc1yhezFw
2021-10-24 13:51:18,"#Likely is that something you want in your kids bloodstream? ""Likely""? The safest vaccine for kids is #COVAXIN… https://t.co/4pAdsWuZTI"
2021-10-24 13:46:32,My dad has prostate cancer which he did beat but came back on his spine. It has been controlled by chemo pills for… https://t.co/ECrwuxfqcv
2021-10-24 13:44:00,"#Vaccine, Vision &amp; Vishwas - Brains behind India’s #Covaxin. 
On Frankly Speaking with Navika Kumar, Bharat Biotech… https://t.co/ZWCplBp5u8"
2021-10-24 13:37:30,24 hours post-COVID booster.  My initial 2 doses were #Moderna.  My booster was #Pfizer.  No side effects at all.… https://t.co/wZuM9YIiRu
2021-10-24 13:33:55,"Why has Canada NOT suspended use of  #Moderna 
Why is Moderna still being given to young people under 30 when the d… https://t.co/OH0E5fVDTe"
2021-10-24 13:32:35,@DrTedros @WHO @UN But no approval for #SputnikV ! #hypocrisy on steroids. https://t.co/HKf9ApEVp9
2021-10-24 13:30:58,"What is the best way to get rid of a couple billion “useless eaters”?
Asking for a friend…

#pfizer #moderna… https://t.co/Dpgj4OCsCn"
2021-10-24 13:28:56,[STUDY] #COVID19 Update: @US_FDA takes additional actions on the use of a #booster Dose for COVID-19 Vaccines… https://t.co/slTjiGNYav
2021-10-24 13:14:17,Reading WSJ article on Ugur Sahin and Stephane Bancel’s triumph 2019-2021. Also reading about Francis Marion 1780-1… https://t.co/YTLiX4EGx0
2021-10-24 13:12:36,"45+ #BBMP #Bengaluru #CovidVaccine Availability for 20/10 at 08:30AM
FREE Slots 0
PAID Slots 
#COVISHIELD – Dose1:7… https://t.co/bysPWaWzxx"
2021-10-24 13:09:45,"""#SuperBowl #champion #KenRuettgers wife suffered life-altering #neurologicaldamage after her dose of #Moderna. Rue… https://t.co/gm3BNHUpcB"
2021-10-24 13:07:21,@parkstorm @cspanwj Didn't he INVEST in the pandemic? How was that not a conflict of interest??#moderna #medicalrape
2021-10-24 13:04:10,"Let's work together to turn our nation with 100℅ vaccinated country
@PMOIndia @mkstalin @ngo_smart
#covidvacccine… https://t.co/tE01zoacPS"
2021-10-24 13:04:00,"#Vaccine, Vision &amp; Vishwas - Brains behind India’s #Covaxin. 
On Frankly Speaking with Navika Kumar, Bharat Biotech… https://t.co/3jJC1cL6jr"
2021-10-24 13:02:37,@WHO The eyes of the world are fixed upon your organization as you people manipulate the #COVAXIN approval. You app… https://t.co/Ns8U7ehpo0
2021-10-24 12:54:57,CENSORED: Injured Covid-19 vaccine child | Sharyl Attkisson. This family (and others) had their lives ruined even t… https://t.co/d2ZvyoWNe5
2021-10-24 12:54:04,#NSTworld #Namibia has discontinued the use of #Russia's #SputnikV #Covid19 vaccine following concerns raised by ne… https://t.co/i5SzoavtH1
2021-10-24 12:48:06,"18-44 #BBMP #Bengaluru #CovidVaccine Availability for 20/10 at 07:00AM
FREE Slots 
#COVISHIELD – Dose1:2553, Dose2:… https://t.co/Ut1ip0yBRP"
2021-10-24 12:40:52,"Ten mRNA Candidates for future:
The Times assessed 10 companies that are strong candidates to make mRNA #vaccines
V… https://t.co/ztVypKrt8N"
2021-10-24 12:31:07,$OCGN - better make sure to have one of those front row seats when WHO approves #covaxin next week! 🚀🚀🚀 BULLISH AF!… https://t.co/6FoG1cB0p2
2021-10-24 12:28:25,"#Covid #Sinovac vaccine #boosters are now #available. Here's who's eligible for Pfizer, Moderna and J&amp;J's shots https://t.co/L5bXk8WRCd"
2021-10-24 12:23:34,@ndtv Why is this ______  allowed to travel on tax payers money? And didn't he take #covaxin that's not approved by… https://t.co/vGkltxHQ73
2021-10-24 12:22:19,#Sinovac in #Singapore.. MR @Khairykj why pfizer?? https://t.co/FDyTakKFiE
2021-10-24 12:20:04,@karebear0517 I already got mine. #moderna
2021-10-24 12:19:50,"⚾️World Series Begins Tuesday in Atlanta 
💉#Moderna, #J&amp;J #Boosters Now Available 
🦠#Vaccines For #Kids Coming In W… https://t.co/YObVcdmhac"
2021-10-24 12:04:07,@TimesNow @WHO @doctorsoumya @DrMikeRyan Please check the video of @BharatBiotech Chairman and dont delay🌍watching.… https://t.co/BkWCcHk9Lh
2021-10-24 12:04:00,"#Vaccine, Vision &amp; Vishwas - Brains behind India’s #Covaxin. 
On Frankly Speaking with Navika Kumar, Bharat Biotech… https://t.co/8rXNeG58iY"
2021-10-24 12:01:46,"#Namibia had taken delivery of a Serbian donation of 30,000 Sputnik doses -- out of which less than 120 have been a… https://t.co/7tGBjHHsdr"
2021-10-24 12:00:58,"You are eligible for a #COVID19vaccine booster if you received a full dose of the #Pfizer, #Moderna or… https://t.co/SMygQZP7xx"
2021-10-24 12:00:27,"45+ #BBMP #Bengaluru #CovidVaccine Availability for 24/10 at 05:30PM
FREE Slots 0
PAID Slots 
#COVISHIELD - Dose1:6… https://t.co/J6PZ3kjEkH"
2021-10-24 11:59:37,"LOOK: 3 Million doses of #Sinovac vaccine arrival at NAIA Terminal 2 on Sunday, October 24, 2021. (PNA photos by Av… https://t.co/8OF0JHf024"
2021-10-24 11:59:05,"#Namibia
#SouthAfrica
All the citizens of these two countries, are NOT male.
I'm waiting for #SputnikV from #Russia… https://t.co/OqrOOkdrEo"
2021-10-24 11:57:36,@MeghUpdates1 But @WHO &amp; @DrTedros were vry quick to give approval to #SinoVac but aren't giving to very much (as c… https://t.co/djOiUIl5aP
2021-10-24 11:50:34,"@US_FDA 
@Ocugen 

Please kindly let me know the latest BLA approval status of #Covaxin /#BBV152 
Thanks.

$OCGN"
2021-10-24 11:42:03,"Curse you @StephenKing! ""Salem's Lot"" filming in my town almost made me late for my booster shot. 

(I made it thou… https://t.co/Vag15ThQ4h"
2021-10-24 11:37:24,Prof. David Hui said #HongKong lacks ability to co-exist with #coronavirus as the city's overall vaccination rate i… https://t.co/wlUzCXnWuS
2021-10-24 11:31:08,WATCH: Chinese Ambassador to PH Huang Xilian and vaccine czar Sec. Carlito Galvez Jr. welcome the arrival of 3 mill… https://t.co/kZUlwcqJ6b
2021-10-24 11:30:28,"18-44 #BBMP #Bengaluru #CovidVaccine Availability for 24/10 at 05:00PM
FREE Slots 
#COVISHIELD - Dose1:1241, Dose2:… https://t.co/sAtjv2CcYz"
2021-10-24 11:30:17,"18-44 #URBAN #Bengaluru #CovidVaccine Availability for 24/10 at 05:00PM
FREE Slots 0
PAID Slots 
#COVISHIELD - Dose… https://t.co/r6UFo9Ccgg"
2021-10-24 11:30:07,"18-44 #RURAL #Bengaluru #CovidVaccine Availability for 24/10 at 05:00PM
FREE Slots 
#COVISHIELD - Dose1:4, Dose2:10… https://t.co/nACRQfTcik"
2021-10-24 11:22:25,"⚾️World Series Begins Tuesday in Atlanta 
💉#Moderna, #J&amp;J #Boosters Now Available 
🦠#Vaccines For #Kids Coming In W… https://t.co/LQ7xCCcgzp"
2021-10-24 11:14:59,Got boosted yesterday with #moderna https://t.co/IHUwnbjuFM
2021-10-24 11:14:02,"#Sweden Suspends #Moderna Shot Indefinitely After Vaxxed Patients Develop Crippling Heart Condition 
#KimmichMyHero 
https://t.co/tqVBDGPZbq"
2021-10-24 11:11:18,@CBCNews @BharatBiotech @Ocugen #COVAXIN may want to try this. https://t.co/EhBmK7m2w3
2021-10-24 11:05:58,(2/2) 6 billion jabs have been administered: “Less than 3% of people in low-income countries have received at least… https://t.co/v0MlnJ9iCc
2021-10-24 11:04:00,"#Vaccine, Vision &amp; Vishwas - Brains behind India’s #Covaxin. 
On Frankly Speaking with Navika Kumar, Bharat Biotech… https://t.co/WnmvTgrtxB"
2021-10-24 11:02:19,"COVAXIN may get approval on 26th October by WHO....
#WHO
#COVAXIN 
👍"
2021-10-24 11:00:28,"45+ #BBMP #Bengaluru #CovidVaccine Availability for 24/10 at 04:30PM
FREE Slots 0
PAID Slots 
#COVISHIELD - Dose1:6… https://t.co/hzztrceNia"
2021-10-24 10:54:10,A team of scientists in #SouthAfrica  is assembling the equipment needed to reverse engineer #Moderna's coronavirus… https://t.co/zYMx3uA3Hm
2021-10-24 10:36:10,@BharatBiotech WHO has delayed Covaxin approval as they care about Pfizer's business. Pfizer is 'influencing' polit… https://t.co/WSINKT1iwZ
2021-10-24 10:33:05,@091Rajeshkumar Hardly anyone got free vaccine. Also #COVAXIN is not yet recognised by WHO.
2021-10-24 10:30:31,"EU Postpones Approval of Russian #SputnikV Vaccine Until Next Year

https://t.co/C6cpdJNhfV"
2021-10-24 10:30:25,"18-44 #BBMP #Bengaluru #CovidVaccine Availability for 24/10 at 04:00PM
FREE Slots 
#COVISHIELD - Dose1:1241, Dose2:… https://t.co/ve25LorZzo"
2021-10-24 10:30:14,"18-44 #URBAN #Bengaluru #CovidVaccine Availability for 24/10 at 04:00PM
FREE Slots 0
PAID Slots 
#COVISHIELD - Dose… https://t.co/zJ7Gc4sQyc"
2021-10-24 10:30:04,"18-44 #RURAL #Bengaluru #CovidVaccine Availability for 24/10 at 04:00PM
FREE Slots 
#COVISHIELD - Dose1:104, Dose2:… https://t.co/1WC8FVFyT3"
2021-10-24 10:27:20,"@Kukicat7 ""How are we going to incentivise them?"" Allow/import the traditional Covid vaccines like #Covaxin and… https://t.co/0vUVoD6qgn"
2021-10-24 10:13:22,"@DrTedros @WHO @UN #Covaxin is not yet approved by @WHO @doctorsoumya @DrMikeRyan,Decision to approve Chinese Sinop… https://t.co/gFG3d2Cm8n"
2021-10-24 10:08:40,I don't date vaccinated #SputnikV people.
2021-10-24 10:04:46,#MannKiBaat #PMModi urges 🇮🇳's to pledge against using plastic &amp; buy local art &amp; handicrafts products to strengthen… https://t.co/l7eDcWqWyZ
2021-10-24 10:04:00,"#Vaccine, Vision &amp; Vishwas - Brains behind India’s #Covaxin. 
On Frankly Speaking with Navika Kumar, Bharat Biotech… https://t.co/9onwTFYxTc"
2021-10-24 10:02:01,"India approves #Covaxin #COVIDVaccine for kids from the age of 2 – a world first
@SuchitraElla
@BharatBiotech
  (… https://t.co/TqjfHoPotu"
2021-10-24 10:00:34,"45+ #BBMP #Bengaluru #CovidVaccine Availability for 24/10 at 03:30PM
FREE Slots 0
PAID Slots 
#COVISHIELD - Dose1:6… https://t.co/VEEwhHWL9m"
2021-10-24 10:00:32,@ZubyMusic Nuff said #pfizer #fda #moderna #reuters #wuhan #Fauci #coronavirus https://t.co/uwFrx9KOtY
2021-10-24 09:54:14,"#MannKiBaat Today, the nation is celebrating #SanyuktRashtraDiwas in which Indian women have played a key role… https://t.co/IwldwpuqZR"
2021-10-24 09:51:07,#MannKiBaat On 15th November the nation will be celebrating the birth anniversary of #BirsaMunda He inspired us to… https://t.co/KwwxHHoT49
2021-10-24 09:49:57,#MannKiBaat 'Ekta' is the way forward for an individual's &amp; nation's progress. PM said that we can learn a lot from… https://t.co/sooatZlVjp
2021-10-24 09:48:19,"The number of Covid-19 cases today, 24 October 2021.
Remember to observe safety and protective measures when you’re… https://t.co/ch7T5785Vx"
2021-10-24 09:48:12,@TimesNow @SudhanshuTrived @JhaSanjay @DrShashiPanja @Dr_AshokSeth @TVMohandasPai Still @DrTedros the @WHO Chief ha… https://t.co/mVdxfRjJjl
2021-10-24 09:47:22,#MannKiBaat PM Modi interacted with Poonam Nautiyal from #Uttarakhand and saluted her zeal in encouraging the peopl… https://t.co/iIqKq4VFy3
2021-10-24 09:46:52,"@CNN ""any cause""?

@CNN trying to outdo The Koran with promises for Vaccinated Eternal Life NOW instead of The Here… https://t.co/FQVCyha69z"
2021-10-24 09:45:44,@DrTedros @WHO @State_IO Still @DrTedros the @WHO Chief has not recommended #Covaxin though it's success rate is mo… https://t.co/ZrvZlucUhG
2021-10-24 09:45:43,"#MannKiBaat Addressing the 82nd edition of MKB, PM Modi said that the country is moving ahead with new enthusiasm a… https://t.co/zsnEJwKaKj"
2021-10-24 09:45:11,@ashumalsingh @CovaxinBharat Still @DrTedros the @WHO Chief has not recommended #Covaxin though it's success rate i… https://t.co/5OPWSH3U8h
2021-10-24 09:45:00,@a_tishi @WHO @whoindia @doctorsoumya @drharshvardhan @PMOIndia @MoHFW_INDIA @BharatBiotech @WHOIndia2 Still… https://t.co/y6R8bBEdpX
2021-10-24 09:44:05,@sardesairajdeep Still @DrTedros the @WHO Chief has not recommended #Covaxin though it's success rate is more than… https://t.co/ZzmS6qKkim
2021-10-24 09:43:48,@shubhamffg @PMOIndia @WHO @covaxinIN @AstraZeneca @sardesairajdeep @SanjayAzadSln @INCIndia @UNICEF Still… https://t.co/YHV4nuNx8C
2021-10-24 09:42:30,@a_tishi @DrTedros @WHO @doctorsoumya @OfficeOf_MM @mansukhmandviya @PMOIndia @RachesElla Still @DrTedros the @WHO… https://t.co/9gvWfLqUNK
