"County","riskLevel","vaccination Ratio","actualvaccine","Death","State","metro","per_point_diff","T or B","percent_hispanic","percent_non_hispanic_american","percent_non_hispanic_asian","percent_non_hispanic_black","percent_non_hispanic_native","percent_non_hispanic_white"
"Rockland County, New York",2,0.532,191653,766,"New York","yes",-0.017397202880913,"Biden",0.1771,0.0011,0.0585,0.1131,0,0.6313
"St. Lawrence County, New York",3,0.521,59817,111,"New York","no",0.116841472376244,"Trump",0.0236,0.0075,0.0099,0.0223,6e-04,0.9197
"Saratoga County, New York",2,0.688,168246,184,"New York","yes",-0.0540198258640835,"Biden",0.0321,0.0019,0.0291,0.0153,1e-04,0.9035
"Schenectady County, New York",2,0.617,102942,213,"New York","yes",-0.156683505733301,"Biden",0.0706,0.0022,0.0443,0.0944,5e-04,0.726
"Schoharie County, New York",3,0.491,16221,20,"New York","yes",0.29013367281986,"Trump",0.032,0.0015,0.0088,0.0135,2e-04,0.9317
"Schuyler County, New York",3,0.547,10341,16,"New York","no",0.175916444808519,"Trump",0.0186,8e-04,0.007,0.0083,0,0.9496
"Seneca County, New York",3,0.469,16970,58,"New York","no",0.0905310300703774,"Trump",0.0349,0.0042,0.0083,0.0476,2e-04,0.8901
"Steuben County, New York",3,0.502,51923,154,"New York","no",0.296331586469747,"Trump",0.0165,0.0011,0.0153,0.0157,0,0.9357
"Suffolk County, New York",3,0.627,1020645,3498,"New York","yes",0.000300696916949283,"Trump",0.1931,0.0016,0.0388,0.0726,2e-04,0.6757
"Sullivan County, New York",3,0.5,41473,79,"New York","no",0.0916673882298612,"Trump",0.1599,0.0023,0.0163,0.074,0,0.7151
"Tioga County, New York",3,0.517,27041,65,"New York","yes",0.205917585050311,"Trump",0.0195,0.002,0.0077,0.0062,0,0.95
"Tompkins County, New York",3,0.692,75994,59,"New York","yes",-0.492467475675085,"Biden",0.0516,0.0014,0.096,0.0348,6e-04,0.7712
"Ulster County, New York",3,0.616,119822,270,"New York","yes",-0.209197290084172,"Biden",0.1021,0.001,0.0186,0.0551,6e-04,0.7905
"Warren County, New York",3,0.677,45943,76,"New York","yes",0.00157759264897178,"Trump",0.0256,0.0027,0.0098,0.012,6e-04,0.9377
"Washington County, New York",3,0.566,37113,61,"New York","yes",0.155519226668562,"Trump",0.0274,0.0031,0.006,0.0279,1e-04,0.9232
"Wayne County, New York",3,0.535,51203,76,"New York","yes",0.195643422641678,"Trump",0.0441,0.0012,0.0078,0.0272,0.0012,0.8993
"Westchester County, New York",2,0.664,712561,2325,"New York","yes",-0.362800299488014,"Biden",0.2467,0.0016,0.0592,0.1343,2e-04,0.5348
"Wyoming County, New York",3,0.436,18612,54,"New York","no",0.454920356719418,"Trump",0.0329,0.0047,0.0041,0.0395,0,0.8991
"Yates County, New York",3,0.457,12182,26,"New York","yes",0.185870479394449,"Trump",0.0222,8e-04,0.0065,0.0096,2e-04,0.9471
"Appling County, Georgia",3,0.304,6597,84,"Georgia","no",0.570441001191895,"Trump",0.0992,0.0051,0.004,0.1928,0,0.6912
"Atkinson County, Georgia",3,0.32,3308,25,"Georgia","no",0.467511885895404,"Trump",0.2488,0.0098,0,0.1741,0,0.5652
"Bacon County, Georgia",5,0.264,3454,49,"Georgia","no",0.726805228197986,"Trump",0.0826,0,0.0017,0.1519,0.0023,0.7351
"Baker County, Georgia",3,0.401,1428,13,"Georgia","yes",0.157556270096463,"Trump",0.0549,3e-04,0.0307,0.3962,0.0067,0.5064
"Baldwin County, Georgia",3,0.389,19990,158,"Georgia","no",-0.0129855898306942,"Biden",0.0226,0.0023,0.0175,0.4211,0,0.5238
"Banks County, Georgia",3,0.26,5909,51,"Georgia","no",0.779797750255653,"Trump",0.0689,0.0053,0.0112,0.026,0,0.878
"Barrow County, Georgia",5,0.348,32897,166,"Georgia","yes",0.431185886448142,"Trump",0.109,0.0015,0.0366,0.117,1e-04,0.7134
"Bartow County, Georgia",5,0.324,40416,281,"Georgia","yes",0.506915821179455,"Trump",0.0863,0.0019,0.0089,0.1032,0,0.7748
"Ben Hill County, Georgia",3,0.348,6690,87,"Georgia","no",0.261730652041438,"Trump",0.0611,0,0.0069,0.3661,0,0.5584
"Berrien County, Georgia",3,0.286,6476,54,"Georgia","no",0.665116879762366,"Trump",0.0507,9e-04,0.0111,0.106,0,0.8182
"Bibb County, Georgia",3,0.393,69672,523,"Georgia","yes",-0.238269649574342,"Biden",0.0325,0.0016,0.0202,0.5429,5e-04,0.3832
