"County","riskLevel","vaccination Ratio","actualvaccine","Death","State","metro","per_point_diff","T or B","percent_hispanic","percent_non_hispanic_american","percent_non_hispanic_asian","percent_non_hispanic_black","percent_non_hispanic_native","percent_non_hispanic_white"
"Seminole County, Georgia",3,0.408,3874,21,"Georgia","no",0.349022633744856,"Trump",0.0321,0,0.0078,0.3289,0,0.6151
"Spalding County, Georgia",5,0.352,27105,235,"Georgia","yes",0.207738903048558,"Trump",0.0456,0.004,0.0098,0.3409,0,0.5852
"Stephens County, Georgia",5,0.361,10800,82,"Georgia","no",0.587379049221708,"Trump",0.0348,0.0017,0.0067,0.119,1e-04,0.8235
"Stewart County, Georgia",3,0.278,2086,26,"Georgia","no",-0.191457286432161,"Biden",0.1875,0.0014,0.0323,0.5242,0,0.2338
"Sumter County, Georgia",5,0.441,14965,114,"Georgia","no",-0.0478268027658874,"Biden",0.0569,0,0.0136,0.5212,0,0.3938
"Talbot County, Georgia",3,0.428,2979,22,"Georgia","no",-0.204997160704145,"Biden",0.006,3e-04,0.0055,0.5773,0,0.4069
"Taliaferro County, Georgia",3,0.416,742,3,"Georgia","no",-0.216594827586207,"Biden",0.0397,0,0.0074,0.6207,0,0.3277
"Tattnall County, Georgia",3,0.288,8532,91,"Georgia","no",0.487721441661576,"Trump",0.1148,0.0022,0.0019,0.2917,2e-04,0.5766
"Taylor County, Georgia",5,0.39,3757,28,"Georgia","no",0.268610098906819,"Trump",0.0262,0,0.0184,0.3796,0,0.5732
"Telfair County, Georgia",3,0.239,4501,63,"Georgia","no",0.308491001384402,"Trump",0.1141,3e-04,2e-04,0.385,0,0.4894
"Terrell County, Georgia",5,0.495,4919,54,"Georgia","yes",-0.0842391304347825,"Biden",0.0282,0,0.031,0.5811,0,0.3561
"Thomas County, Georgia",5,0.433,22239,150,"Georgia","no",0.194815288953914,"Trump",0.0371,0.0013,0.0013,0.3624,5e-04,0.5761
"Tift County, Georgia",3,0.358,17012,150,"Georgia","no",0.335770010442902,"Trump",0.1178,0.0026,0.0135,0.295,0,0.5585
"Toombs County, Georgia",3,0.35,11312,140,"Georgia","no",0.452171522814733,"Trump",0.1169,1e-04,0.0091,0.2555,0,0.6024
"Towns County, Georgia",5,0.464,6168,69,"Georgia","no",0.60584033086853,"Trump",0.0274,0.0035,0.0052,0.0127,0,0.9409
"Treutlen County, Georgia",3,0.28,2400,37,"Georgia","no",0.373415664608385,"Trump",0.0132,0,0,0.2637,0,0.7205
"Troup County, Georgia",3,0.316,26196,268,"Georgia","no",0.218491030718541,"Trump",0.0368,0.0019,0.0217,0.3611,0,0.5628
"Turner County, Georgia",3,0.446,4149,45,"Georgia","no",0.247955684515959,"Trump",0.0477,0,0.0077,0.4029,0,0.5375
"Twiggs County, Georgia",3,0.463,4471,51,"Georgia","yes",0.0733573357335734,"Trump",0.0072,0,0.0021,0.4285,0,0.5505
"Union County, Georgia",3,0.426,11679,96,"Georgia","no",0.633114796246304,"Trump",0.0331,0.0055,0.0031,0.0074,0,0.9386
"Upson County, Georgia",5,0.391,11971,139,"Georgia","no",0.34118558698179,"Trump",0.0231,0.0064,0.0045,0.2714,0.0076,0.6721
"Walker County, Georgia",3,0.286,23312,102,"Georgia","yes",0.592866389589153,"Trump",0.0222,0.0016,0.0076,0.0411,1e-04,0.9088
"Walton County, Georgia",3,0.362,38946,289,"Georgia","yes",0.492357074354608,"Trump",0.0439,0.0012,0.0136,0.1763,3e-04,0.7464
"Ware County, Georgia",3,0.336,14233,213,"Georgia","no",0.404115864402002,"Trump",0.041,0.0056,0.0105,0.2984,6e-04,0.6335
"Warren County, Georgia",5,0.419,2541,21,"Georgia","no",-0.113962264150943,"Biden",0.0047,0,0.006,0.6111,0,0.3749
"Washington County, Georgia",3,0.387,9294,100,"Georgia","no",-0.0079138968027857,"Biden",0.0248,5e-04,0.0067,0.5263,0,0.4253
"Wayne County, Georgia",5,0.311,11362,123,"Georgia","no",0.571171453165349,"Trump",0.0626,7e-04,0.0061,0.2024,0,0.7117
"Webster County, Georgia",3,0.391,1169,4,"Georgia","no",0.0776419841840402,"Trump",0.0874,0.0034,0,0.372,0,0.5184
"Wheeler County, Georgia",3,0.215,2037,29,"Georgia","no",0.391247264770241,"Trump",0.0014,0,0,0.4339,0,0.5618
"White County, Georgia",5,0.323,11414,108,"Georgia","no",0.662189524838013,"Trump",0.0325,0.0043,0.0058,0.0146,0,0.923
"Whitfield County, Georgia",5,0.381,45723,284,"Georgia","yes",0.407006473372137,"Trump",0.3511,0.0025,0.0144,0.0376,0,0.5843
"Wilcox County, Georgia",3,0.316,3221,50,"Georgia","no",0.469960353766392,"Trump",0.0466,0.0039,0,0.3548,0,0.5851
"Wilkes County, Georgia",5,0.413,4561,33,"Georgia","no",0.131809145129225,"Trump",0.0506,0,0.0039,0.4259,0,0.5093
"Wilkinson County, Georgia",3,0.446,4664,31,"Georgia","no",0.123899371069182,"Trump",0.0287,0.0012,0,0.3895,6e-04,0.567
"Worth County, Georgia",3,0.369,8576,78,"Georgia","yes",0.477652127086699,"Trump",0.022,0.0038,0.0079,0.2801,3e-04,0.673
