"metro","per_point_diff","T.or.B","X..Fair.or.Poor.Health","Average.Number.of.Physically.Unhealthy.Days","Average.Number.of.Mentally.Unhealthy.Days","X..Smokers","X..Physically.Inactive","Violent.Crime.Rate","Income.Ratio","X..Children.in.Single.Parent.Households","X..Unemployed","X..Vaccinated","X..Uninsured","X..Children.in.Poverty","Life.Expectancy","Median.Household.Income","X..bachelor.degree","X..High.school.degree","X..Households.with.a.broadband.Internet","Persons.per.household","label"
"yes",0.181682112034649,"Trump",16.553101726,4.0806805092,4.5096769758,21.371860856,24.4,122.64985794,4.2228841495,22.416998672,4.240708195,51,4.5094428504,16.4,79.611246322,60268,0.265,0.906,0.837,2.37,"High"
"yes",0.105793524883953,"Trump",14.212150742,3.4835712547,4.605941483,20.292388676,22.6,151.42316844,4.4026540212,17.542840546,4.4863578099,48,4.8473232727,13.2,81.497817079,61713,0.262,0.92,0.817,2.55,"High"
"yes",-0.21020622967429,"Biden",15.988888886,3.7831354545,4.2786016913,18.03860166,20.7,326.25708471,4.9415428049,32.567702786,4.1652133956,53,4.2863748329,18.9,79.757057912,62159,0.386,0.904,0.84,2.37,"High"
"no",0.225608024983439,"Trump",20.395811266,4.4844853588,4.7363550319,22.632302035,29.4,142.33654011,4.7405281286,26.747585718,5.0793508473,49,5.3075084895,25.5,77.823550576,52092,0.178,0.868,0.76,2.45,"High"
"yes",-0.0952404347422607,"Biden",12.63438593,3.108624063,3.6703922895,12.074269951,20.4,143.66338688,4.4941938459,15.147443025,3.4446236362,55,4.6119262372,6.5,83.074313197,117767,0.46,0.914,0.898,2.99,"High"
"yes",-0.745218044506867,"Biden",15.566019351,3.6125851108,4.0665616209,11.920397584,16.8,586.40744787,9.1468112726,35.153266149,3.5072035172,49,6.1409231214,17.3,85.270363235,93007,0.613,0.873,0.852,2.07,"High"
"yes",0.0964546502690238,"Trump",17.620147936,4.2333647975,4.7259386725,22.594051992,27.8,394.56884814,4.7783892383,27.17691165,4.9592047456,46,4.4334417712,16.9,78.066950017,56371,0.246,0.912,0.797,2.34,"High"
"yes",0.154973894745201,"Trump",18.604369507,4.474678611,4.5150273173,20.598873074,24.8,283.32335058,4.6256872852,26.32152925,4.2809133142,50,4.9501517615,19.3,78.158236577,56516,0.257,0.885,0.807,2.43,"High"
"yes",-0.205657443500117,"Biden",15.223023429,3.8646588423,4.6901844834,17.194446583,21.3,317.56761816,4.9204513285,29.905632646,3.9329128674,55,4.7048264751,18.7,79.65149899,61597,0.359,0.91,0.802,2.39,"High"
"yes",0.000234608037001038,"Trump",13.332827767,3.43984186,4.1980792375,18.095747542,21.4,153.29848006,4.1410672854,23.108715184,3.8871428055,54,4.2911164117,10.4,80.000361276,66754,0.363,0.939,0.848,2.36,"High"
