"County","riskLevel","vaccination Ratio","actualvaccine","Death","State","metro","per_point_diff","T or B","percent_hispanic","percent_non_hispanic_american","percent_non_hispanic_asian","percent_non_hispanic_black","percent_non_hispanic_native","percent_non_hispanic_white","X..Fair.or.Poor.Health","Average.Number.of.Physically.Unhealthy.Days","Average.Number.of.Mentally.Unhealthy.Days","X..Smokers","X..Physically.Inactive","Violent.Crime.Rate","Income.Ratio","X..Children.in.Single.Parent.Households","X..Unemployed","X..Vaccinated","X..Uninsured","X..Children.in.Poverty","Life.Expectancy","Median.Household.Income","X..bachelor.degree","X..High.school.degree","X..Households.with.a.broadband.Internet","Persons.per.household"
"Columbia County, New York","2",0.64,41410,107,"New York","no",-0.166713585946737,"Biden",0.0477,6e-04,0.0174,0.0431,0,0.8635,15.24541892,4.0167005863,4.1891300796,20.177388562,22.1,145.53647045,4.5053227472,22.855755221,3.2231166415,53,5.7819039986,15.4,79.889615747,71563,0.327,0.903,0.797,2.32
"Cortland County, New York","3",0.512,26026,69,"New York","no",0.0193744810406864,"Trump",0.027,0.0022,0.0076,0.019,0,0.9262,16.850290083,4.1619116418,4.7392038847,21.52773221,25.3,89.542293116,4.1583897371,22.005906158,4.8921366998,53,4.3854840478,19.3,78.356780507,55143,0.28,0.907,0.738,2.5
"Delaware County, New York","3",0.497,23730,40,"New York","no",0.184321389793702,"Trump",0.0388,8e-04,0.0078,0.0153,0,0.9209,17.569154396,4.3866548832,4.8178965406,22.883929757,26.3,193.05876087,4.7676149018,28.106898368,4.7130825966,47,5.8421516755,19.1,79.156491784,51038,0.226,0.889,0.76,2.25
"Dutchess County, New York","3",0.589,190998,480,"New York","yes",-0.0964187874697264,"Biden",0.1219,0.0015,0.0352,0.098,4e-04,0.7147,14.716894959,3.649747271,4.2839679345,15.67146022,20.3,203.66598778,4.8209464701,21.920525025,3.6094140517,53,5.1420120421,9.8,80.68547552,84564,0.35,0.911,0.881,2.54
"Erie County, New York","2",0.592,583475,1871,"New York","yes",-0.147238706103957,"Biden",0.055,0.0045,0.0355,0.1301,3e-04,0.7549,16.652854089,4.0485574264,4.4749966908,18.774414029,23.7,427.52334492,5.0713060309,29.548994108,4.256375045,48,4.4202047826,19.3,78.679465462,60620,0.344,0.918,0.812,2.29
"Essex County, New York","2",0.627,24469,29,"New York","no",-0.0504179863959707,"Biden",0.0301,0.0025,0.0027,0.029,2e-04,0.9196,16.201176056,4.1348788461,3.9989420662,18.772894177,22.9,166.76003492,4.0427133718,18.935499917,4.736687261,55,4.4958775465,17.1,80.175045791,55091,0.268,0.915,0.781,2.19
"Franklin County, New York","3",0.547,29230,15,"New York","no",0.021538301847623,"Trump",0.0354,0.0715,0.0054,0.0562,0.0022,0.8162,19.246351378,4.2223610073,4.5594462377,23.330822818,26,183.45743689,4.9705372617,27.968844831,4.9250535332,48,6.8346020761,25.1,79.176936814,48943,0.191,0.874,0.739,2.35
"Fulton County, New York","3",0.461,26317,97,"New York","no",0.313637129380054,"Trump",0.031,0.0029,0.0078,0.0198,1e-04,0.9269,18.7288923,4.6461176347,4.8448048446,24.037638762,27.5,204.07216734,4.2810710825,32.881011723,5.0273658192,51,5.0551579146,26.4,78.379635306,50061,0.182,0.873,0.77,2.33
"Genesee County, New York","2",0.512,31608,126,"New York","no",0.316630728685354,"Trump",0.033,0.0083,0.0079,0.0202,0,0.9052,16.073207333,4.1694102738,4.5869582221,22.630276301,31,219.98742929,4.2284484445,20.789384144,3.9413505515,49,4.526758023,13.6,78.126013596,62570,0.223,0.922,0.806,2.4
"Greene County, New York","2",0.534,27696,82,"New York","no",0.155791061363817,"Trump",0.0591,0.0047,0.0105,0.0545,1e-04,0.8528,17.498382015,4.3285372426,4.5038788715,23.419935021,25.9,225.00426548,4.8591477771,19.754996776,4.5039711904,46,5.5997667978,18.5,78.432396045,54746,0.221,0.867,0.735,2.58
"Hamilton County, New York","3",0.771,3688,3,"New York","no",0.302601156069364,"Trump",0.0166,0.0011,7e-04,0.008,4e-04,0.9595,16.707861597,4.1233833979,4.6541230024,21.240222785,20.7,74.286320705,4.0753706091,13.621794872,6.0072267389,53,6.2643489669,17.7,78.85186648,60148,0.168,0.775,0.752,3.79
"Herkimer County, New York","3",0.503,33039,115,"New York","yes",0.304682970087656,"Trump",0.0216,0.0021,0.0059,0.0103,2e-04,0.9451,16.750437619,4.2638593027,4.4686644014,24.939865673,26.5,210.88572002,4.156261792,17.969115583,4.9119289704,50,4.9130245028,19,79.440704908,55778,0.215,0.898,0.799,2.48
"Jefferson County, New York","3",0.584,76150,70,"New York","yes",0.189792008757526,"Trump",0.0752,0.0037,0.0171,0.0572,0.0019,0.8164,17.275205693,3.852645525,4.0957659003,20.235493937,25.1,212.6354006,4.0352212242,23.068724734,5.6234496256,54,4.7761062142,20.6,77.965395455,53829,0.222,0.91,0.838,2.49
"Kings County, New York","2",0.535,1573366,10680,"New York","yes",-0.548086714861056,"Biden",0.1904,0.0014,0.1178,0.2997,4e-04,0.364,18.733240098,3.910971885,4.249554538,15.268122754,24,586.18548775,6.8615050724,30.970904091,4.064482206,39,7.8499790704,24.7,82.947002907,66501,0.375,0.824,0.8,2.66
"Lewis County, New York","3",0.441,12245,36,"New York","no",0.391687268232386,"Trump",0.0173,0.0029,0.0053,0.007,9e-04,0.9585,17.406638138,4.1166028504,4.3048192659,21.868104239,28.2,131.55700495,3.5957720116,16.165904637,5.5393335623,55,5.0938212972,18.6,79.052740978,56599,0.184,0.901,0.784,2.56
"Livingston County, New York","2",0.517,34654,63,"New York","yes",0.181682112034649,"Trump",0.0366,0.0019,0.013,0.0258,5e-04,0.9076,16.553101726,4.0806805092,4.5096769758,21.371860856,24.4,122.64985794,4.2228841495,22.416998672,4.240708195,51,4.5094428504,16.4,79.611246322,60268,0.265,0.906,0.837,2.37
"Madison County, New York","3",0.534,40315,96,"New York","yes",0.105793524883953,"Trump",0.0221,0.0047,0.009,0.0167,0.0011,0.9309,14.212150742,3.4835712547,4.605941483,20.292388676,22.6,151.42316844,4.4026540212,17.542840546,4.4863578099,48,4.8473232727,13.2,81.497817079,61713,0.262,0.92,0.817,2.55
"Monroe County, New York","2",0.621,487430,1148,"New York","yes",-0.21020622967429,"Biden",0.0877,0.0018,0.0359,0.1448,2e-04,0.7057,15.988888886,3.7831354545,4.2786016913,18.03860166,20.7,326.25708471,4.9415428049,32.567702786,4.1652133956,53,4.2863748329,18.9,79.757057912,62159,0.386,0.904,0.84,2.37
"Montgomery County, New York","3",0.566,29980,133,"New York","no",0.225608024983439,"Trump",0.141,0.0015,0.0069,0.0189,0,0.8127,20.395811266,4.4844853588,4.7363550319,22.632302035,29.4,142.33654011,4.7405281286,26.747585718,5.0793508473,49,5.3075084895,25.5,77.823550576,52092,0.178,0.868,0.76,2.45
"Nassau County, New York","3",0.669,1018258,3239,"New York","yes",-0.0952404347422607,"Biden",0.169,0.0012,0.096,0.1115,2e-04,0.5998,12.63438593,3.108624063,3.6703922895,12.074269951,20.4,143.66338688,4.4941938459,15.147443025,3.4446236362,55,4.6119262372,6.5,83.074313197,117767,0.46,0.914,0.898,2.99
