"County","per_point_diff","T or B"
"Rockdale County, Georgia",-0.407846735748976,"Biden"
"Schley County, Georgia",0.588131868131868,"Trump"
"Screven County, Georgia",0.189225894069715,"Trump"
"Seminole County, Georgia",0.349022633744856,"Trump"
"Spalding County, Georgia",0.207738903048558,"Trump"
"Stephens County, Georgia",0.587379049221708,"Trump"
"Stewart County, Georgia",-0.191457286432161,"Biden"
"Sumter County, Georgia",-0.0478268027658874,"Biden"
"Talbot County, Georgia",-0.204997160704145,"Biden"
"Taliaferro County, Georgia",-0.216594827586207,"Biden"
"Tattnall County, Georgia",0.487721441661576,"Trump"
"Taylor County, Georgia",0.268610098906819,"Trump"
"Telfair County, Georgia",0.308491001384402,"Trump"
"Terrell County, Georgia",-0.0842391304347825,"Biden"
"Thomas County, Georgia",0.194815288953914,"Trump"
"Tift County, Georgia",0.335770010442902,"Trump"
"Toombs County, Georgia",0.452171522814733,"Trump"
"Towns County, Georgia",0.60584033086853,"Trump"
"Treutlen County, Georgia",0.373415664608385,"Trump"
"Troup County, Georgia",0.218491030718541,"Trump"
"Turner County, Georgia",0.247955684515959,"Trump"
"Twiggs County, Georgia",0.0733573357335734,"Trump"
"Union County, Georgia",0.633114796246304,"Trump"
"Upson County, Georgia",0.34118558698179,"Trump"
"Walker County, Georgia",0.592866389589153,"Trump"
"Walton County, Georgia",0.492357074354608,"Trump"
"Ware County, Georgia",0.404115864402002,"Trump"
"Warren County, Georgia",-0.113962264150943,"Biden"
"Washington County, Georgia",-0.0079138968027857,"Biden"
"Wayne County, Georgia",0.571171453165349,"Trump"
"Webster County, Georgia",0.0776419841840402,"Trump"
"Wheeler County, Georgia",0.391247264770241,"Trump"
"White County, Georgia",0.662189524838013,"Trump"
"Whitfield County, Georgia",0.407006473372137,"Trump"
"Wilcox County, Georgia",0.469960353766392,"Trump"
"Wilkes County, Georgia",0.131809145129225,"Trump"
"Wilkinson County, Georgia",0.123899371069182,"Trump"
"Worth County, Georgia",0.477652127086699,"Trump"
"Albany County, New York",-0.314034302178441,"Biden"
"Allegany County, New York",0.389134828216726,"Trump"
"Bronx County, New York",-0.675649201930869,"Biden"
"Broome County, New York",-0.0345927538418432,"Biden"
"Cattaraugus County, New York",0.294906012340365,"Trump"
"Cayuga County, New York",0.0923368386370501,"Trump"
"Chautauqua County, New York",0.198401456900041,"Trump"
"Chemung County, New York",0.134128393808678,"Trump"
"Chenango County, New York",0.233013194506777,"Trump"
"Clinton County, New York",-0.0522053221209471,"Biden"
"Columbia County, New York",-0.166713585946737,"Biden"
"Cortland County, New York",0.0193744810406864,"Trump"
"Delaware County, New York",0.184321389793702,"Trump"
"Dutchess County, New York",-0.0964187874697264,"Biden"
"Erie County, New York",-0.147238706103957,"Biden"
"Essex County, New York",-0.0504179863959707,"Biden"
"Franklin County, New York",0.021538301847623,"Trump"
"Fulton County, New York",0.313637129380054,"Trump"
"Genesee County, New York",0.316630728685354,"Trump"
"Greene County, New York",0.155791061363817,"Trump"
"Hamilton County, New York",0.302601156069364,"Trump"
"Herkimer County, New York",0.304682970087656,"Trump"
"Jefferson County, New York",0.189792008757526,"Trump"
"Kings County, New York",-0.548086714861056,"Biden"
"Lewis County, New York",0.391687268232386,"Trump"
"Livingston County, New York",0.181682112034649,"Trump"
"Madison County, New York",0.105793524883953,"Trump"
"Monroe County, New York",-0.21020622967429,"Biden"
"Montgomery County, New York",0.225608024983439,"Trump"
"Nassau County, New York",-0.0952404347422607,"Biden"
"New York County, New York",-0.745218044506867,"Biden"
"Niagara County, New York",0.0964546502690238,"Trump"
"Oneida County, New York",0.154973894745201,"Trump"
"Onondaga County, New York",-0.205657443500117,"Biden"
"Ontario County, New York",0.000234608037001038,"Trump"
"Orange County, New York",0.00181291001109823,"Trump"
"Orleans County, New York",0.360196100033051,"Trump"
"Oswego County, New York",0.201776440146079,"Trump"
"Otsego County, New York",0.050235646958012,"Trump"
"Putnam County, New York",0.078743021331539,"Trump"
"Queens County, New York",-0.452330363262509,"Biden"
"Rensselaer County, New York",-0.0562782556133435,"Biden"
"Richmond County, New York",0.149537596054646,"Trump"
"Rockland County, New York",-0.017397202880913,"Biden"
"St. Lawrence County, New York",0.116841472376244,"Trump"
"Saratoga County, New York",-0.0540198258640835,"Biden"
"Schenectady County, New York",-0.156683505733301,"Biden"
"Schoharie County, New York",0.29013367281986,"Trump"
"Schuyler County, New York",0.175916444808519,"Trump"
"Seneca County, New York",0.0905310300703774,"Trump"
"Steuben County, New York",0.296331586469747,"Trump"
"Suffolk County, New York",0.000300696916949283,"Trump"
"Sullivan County, New York",0.0916673882298612,"Trump"
"Tioga County, New York",0.205917585050311,"Trump"
"Tompkins County, New York",-0.492467475675085,"Biden"
"Ulster County, New York",-0.209197290084172,"Biden"
"Warren County, New York",0.00157759264897178,"Trump"
"Washington County, New York",0.155519226668562,"Trump"
"Wayne County, New York",0.195643422641678,"Trump"
"Westchester County, New York",-0.362800299488014,"Biden"
"Wyoming County, New York",0.454920356719418,"Trump"
"Yates County, New York",0.185870479394449,"Trump"
