"County","riskLevel","vaccination Ratio","actualvaccine","Death"
"Jeff Davis County, Georgia",3,0.27,4828,47
"Jefferson County, Georgia",3,0.457,8232,74
"Jenkins County, Georgia",2,0.309,3226,46
"Johnson County, Georgia",3,0.29,3451,51
"Jones County, Georgia",3,0.377,12708,71
"Lamar County, Georgia",5,0.306,6772,74
"Lanier County, Georgia",3,0.246,3004,14
"Laurens County, Georgia",5,0.372,21266,204
"Lee County, Georgia",3,0.442,15252,74
"Liberty County, Georgia",3,0.259,18377,80
"Lincoln County, Georgia",3,0.404,3711,29
"Long County, Georgia",3,0.173,4048,16
"Lowndes County, Georgia",3,0.321,44096,262
"Lumpkin County, Georgia",5,0.318,12091,87
"McDuffie County, Georgia",3,0.389,9579,60
"McIntosh County, Georgia",3,0.359,5839,24
"Macon County, Georgia",3,0.366,5573,38
"Madison County, Georgia",5,0.384,13030,62
"Marion County, Georgia",3,0.343,3438,28
"Meriwether County, Georgia",3,0.36,8791,96
"Miller County, Georgia",3,0.473,3156,16
"Mitchell County, Georgia",5,0.403,10326,93
"Monroe County, Georgia",5,0.391,12384,119
"Montgomery County, Georgia",3,0.303,3440,27
"Morgan County, Georgia",3,0.407,8758,34
"Murray County, Georgia",5,0.311,14888,102
"Muscogee County, Georgia",3,0.363,81655,545
"Newton County, Georgia",3,0.367,47134,292
"Oconee County, Georgia",3,0.528,23195,75
"Oglethorpe County, Georgia",3,0.381,6479,35
"Paulding County, Georgia",3,0.328,63315,275
"Peach County, Georgia",3,0.39,12595,77
"Pickens County, Georgia",5,0.392,14215,92
"Pierce County, Georgia",5,0.295,6770,79
"Pike County, Georgia",5,0.283,6278,54
"Polk County, Georgia",5,0.323,16373,120
"Pulaski County, Georgia",3,0.323,4250,52
"Putnam County, Georgia",3,0.388,9713,69
"Quitman County, Georgia",3,0.317,824,3
"Rabun County, Georgia",5,0.423,8146,54
"Randolph County, Georgia",3,0.4,3273,36
"Richmond County, Georgia",5,0.361,82406,586
"Rockdale County, Georgia",3,0.446,46110,199
"Schley County, Georgia",5,0.285,1830,6
"Screven County, Georgia",3,0.41,6805,42
"Seminole County, Georgia",3,0.408,3874,21
"Spalding County, Georgia",5,0.352,27105,235
"Stephens County, Georgia",5,0.361,10800,82
"Stewart County, Georgia",3,0.278,2086,26
"Sumter County, Georgia",5,0.441,14965,114
"Talbot County, Georgia",3,0.428,2979,22
"Taliaferro County, Georgia",3,0.416,742,3
"Tattnall County, Georgia",3,0.288,8532,91
"Taylor County, Georgia",5,0.39,3757,28
"Telfair County, Georgia",3,0.239,4501,63
"Terrell County, Georgia",5,0.495,4919,54
"Thomas County, Georgia",5,0.433,22239,150
"Tift County, Georgia",3,0.358,17012,150
"Toombs County, Georgia",3,0.35,11312,140
"Towns County, Georgia",5,0.464,6168,69
"Treutlen County, Georgia",3,0.28,2400,37
"Troup County, Georgia",3,0.316,26196,268
"Turner County, Georgia",3,0.446,4149,45
"Twiggs County, Georgia",3,0.463,4471,51
"Union County, Georgia",3,0.426,11679,96
"Upson County, Georgia",5,0.391,11971,139
"Walker County, Georgia",3,0.286,23312,102
"Walton County, Georgia",3,0.362,38946,289
"Ware County, Georgia",3,0.336,14233,213
"Warren County, Georgia",5,0.419,2541,21
"Washington County, Georgia",3,0.387,9294,100
"Wayne County, Georgia",5,0.311,11362,123
"Webster County, Georgia",3,0.391,1169,4
"Wheeler County, Georgia",3,0.215,2037,29
"White County, Georgia",5,0.323,11414,108
"Whitfield County, Georgia",5,0.381,45723,284
"Wilcox County, Georgia",3,0.316,3221,50
"Wilkes County, Georgia",5,0.413,4561,33
"Wilkinson County, Georgia",3,0.446,4664,31
"Worth County, Georgia",3,0.369,8576,78
