County,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Smokers,% Physically Inactive,Violent Crime Rate,Income Ratio,% Children in Single-Parent Households,% Unemployed,% Vaccinated,% Uninsured,% Children in Poverty,Life Expectancy,Median Household Income,State
"Columbia County, New York",15.24541892,4.0167005863,4.1891300796,20.177388562,22.1,145.53647045,4.5053227472,22.855755221,3.2231166415,53,5.7819039986,15.4,79.889615747,71563,New York
"Cortland County, New York",16.850290083,4.1619116418,4.7392038847,21.52773221,25.3,89.542293116,4.1583897371,22.005906158,4.8921366998,53,4.3854840478,19.3,78.356780507,55143,New York
"Delaware County, New York",17.569154396,4.3866548832,4.8178965406,22.883929757,26.3,193.05876087,4.7676149018,28.106898368,4.7130825966,47,5.8421516755,19.1,79.156491784,51038,New York
"Dutchess County, New York",14.716894959,3.649747271,4.2839679345,15.67146022,20.3,203.66598778,4.8209464701,21.920525025,3.6094140517,53,5.1420120421,9.8,80.68547552,84564,New York
"Erie County, New York",16.652854089,4.0485574264,4.4749966908,18.774414029,23.7,427.52334492,5.0713060309,29.548994108,4.256375045,48,4.4202047826,19.3,78.679465462,60620,New York
"Essex County, New York",16.201176056,4.1348788461,3.9989420662,18.772894177,22.9,166.76003492,4.0427133718,18.935499917,4.736687261,55,4.4958775465,17.1,80.175045791,55091,New York
"Franklin County, New York",19.246351378,4.2223610073,4.5594462377,23.330822818,26.0,183.45743689,4.9705372617,27.968844831,4.9250535332,48,6.8346020761,25.1,79.176936814,48943,New York
"Fulton County, New York",18.7288923,4.6461176347,4.8448048446,24.037638762,27.5,204.07216734,4.2810710825,32.881011723,5.0273658192,51,5.0551579146,26.4,78.379635306,50061,New York
"Genesee County, New York",16.073207333,4.1694102738,4.5869582221,22.630276301,31.0,219.98742929,4.2284484445,20.789384144,3.9413505515,49,4.526758023,13.6,78.126013596,62570,New York
"Greene County, New York",17.498382015,4.3285372426,4.5038788715,23.419935021,25.9,225.00426548,4.8591477771,19.754996776,4.5039711904,46,5.5997667978,18.5,78.432396045,54746,New York
"Hamilton County, New York",16.707861597,4.1233833979,4.6541230024,21.240222785,20.7,74.286320705,4.0753706091,13.621794872,6.0072267389,53,6.2643489669,17.7,78.85186648,60148,New York
"Herkimer County, New York",16.750437619,4.2638593027,4.4686644014,24.939865673,26.5,210.88572002,4.156261792,17.969115583,4.9119289704,50,4.9130245028,19.0,79.440704908,55778,New York
"Jefferson County, New York",17.275205693,3.852645525,4.0957659003,20.235493937,25.1,212.6354006,4.0352212242,23.068724734,5.6234496256,54,4.7761062142,20.6,77.965395455,53829,New York
